iter	MultiClass
888	0.0741569336
889	0.07411300269
890	0.07402620081
891	0.07392973906
892	0.07387066819
893	0.07373413445
894	0.07365794176
895	0.07364470578
896	0.07348101334
897	0.07339417494
898	0.07329207852
899	0.07323006974
900	0.07316332621
901	0.07309336843
902	0.07304422687
903	0.07301661583
904	0.07296265029
905	0.07284121366
906	0.07280901712
907	0.07277182604
908	0.07271063164
909	0.07259923062
910	0.0725466872
911	0.07249288036
912	0.07235013417
913	0.0722708418
914	0.07224793268
915	0.07210654575
916	0.07202911377
917	0.07193774222
918	0.07183942141
919	0.07175456962
920	0.07169729234
921	0.07166170403
922	0.07160270761
923	0.07150813118
924	0.07146332117
925	0.07138154694
926	0.07128160496
927	0.07123784899
928	0.0712167263
929	0.07118642185
930	0.07113952698
931	0.0711182489
932	0.07101583053
933	0.07096707999
934	0.07091927562
935	0.07090342305
936	0.07083566646
937	0.07080168768
938	0.07072706549
939	0.07064453055
940	0.07053144295
941	0.07044357988
942	0.07038492176
943	0.07032378581
944	0.07030248168
945	0.07017008534
946	0.07010550141
947	0.07007934814
948	0.06999278574
949	0.06990767051
950	0.06982627971
951	0.06975025565
952	0.06964839239
953	0.06963178721
954	0.06960808348
955	0.06953751846
956	0.06945577924
957	0.06939683756
958	0.06933996525
959	0.06931250524
960	0.06917923297
961	0.06913043241
962	0.06899182538
963	0.06893051176
964	0.06885123703
965	0.0687748744
966	0.06871016889
967	0.06867234097
968	0.06863374193
969	0.06853173735
970	0.06849466957
971	0.06847152593
972	0.06841435729
973	0.06834954793
974	0.06831895687
975	0.06829104025
976	0.06820547182
977	0.06817232711
978	0.06812502912
979	0.06808532615
980	0.06799662152
981	0.06794776282
982	0.06789305181
983	0.06778592057
984	0.06775295285
985	0.06770630704
986	0.06762291806
987	0.06748909871
988	0.06741844033
989	0.06735651091
990	0.06728565172
991	0.06721463251
992	0.06714334353
993	0.06703666974
994	0.0669256295
995	0.06688834189
996	0.06680315004
997	0.06676330014
998	0.0667148107
999	0.06666943486
0400262
